thread_ts,reply_count,unique_reply_users,single_responder,multiple_responders,contains_numeric_dates,contains_keywords
1734794650.485339,0,0,false,false,false,false
1734795974.781349,1,1,true,false,false,true
1734975599.531489,1,1,true,false,true,true
1736179195.582869,1,1,true,false,true,true
1736349671.967329,0,0,false,false,false,false
1736454503.546059,4,3,false,true,true,true
1736610303.635779,1,1,true,false,true,false
1736611477.069059,0,0,false,false,false,false
1736788369.934839,1,1,true,false,true,true
1736955970.445009,1,1,true,false,true,true
1737584179.709399,0,0,false,false,false,false
1737999287.927689,0,0,false,false,false,false
1738010148.848359,0,0,false,false,false,false
1738345072.262629,0,0,false,false,false,false
1738436655.735779,0,0,false,false,false,false
1738881339.100269,0,0,false,false,false,false
1738939839.810639,1,1,true,false,true,true
1738957495.556679,1,1,true,false,true,true
1739472938.002709,1,1,true,false,true,false
1739831445.879559,0,0,false,false,false,false
1740148409.830369,1,1,true,false,false,false
1740258999.523629,1,1,true,false,true,true
1740607079.172359,1,1,true,false,true,false
1740847046.097659,0,0,false,false,false,false
1740851380.566349,1,1,true,false,true,true
1741281094.827389,0,0,false,false,false,false
1741366423.620069,1,1,true,false,true,true
1741375430.624449,1,1,true,false,true,true
1741465276.887879,1,1,true,false,true,true
1741724325.217159,1,1,true,false,true,true
1741809802.577309,0,0,false,false,false,false
1741972969.441129,1,1,true,false,true,true
1741987981.632169,1,1,true,false,true,true
1741988855.355269,1,1,true,false,true,true
1742056237.527269,1,1,true,false,true,true
1742307225.959509,1,1,true,false,true,true
1743002218.819149,1,1,true,false,true,true
1743285832.351699,1,1,true,false,true,true
1743444872.834459,0,0,false,false,false,false
1743519405.968829,1,1,true,false,true,true
1743607229.841919,1,1,true,false,true,false
1743873121.133799,1,1,true,false,true,true
1744208666.084729,1,1,true,false,true,false
1744647302.248559,1,1,true,false,true,false
1744825793.588119,0,0,false,false,false,false
1745082379.326869,1,1,true,false,true,true
1745088877.303479,1,1,true,false,false,false
1745097927.305569,1,1,true,false,true,true
1745261139.381189,1,1,true,false,true,true
1745515029.106099,1,1,true,false,true,false
1745598142.493769,0,0,false,false,false,false
1745680789.911019,1,1,true,false,true,true
1745697581.125089,1,1,true,false,true,false
1745854334.914309,2,2,false,true,true,true
1745954355.119849,1,1,true,false,true,true
1746042475.000159,0,0,false,false,false,false
1746131219.681759,0,0,false,false,false,false
1746457580.354079,1,1,true,false,true,false
1746459592.731919,1,1,true,false,true,false
1747147888.386079,1,1,true,false,true,false
1747258768.332319,1,1,true,false,true,false
1747419913.732359,2,2,false,true,true,true
1747686830.313469,1,1,true,false,false,false
1747760879.761319,1,1,true,false,true,false
1748354433.508529,0,0,false,false,false,false
1748362464.165679,0,0,false,false,false,false
1748368665.830079,0,0,false,false,false,false
1748638605.922739,2,2,false,true,true,true
1748728332.486399,1,1,true,false,false,true
1748975141.823829,0,0,false,false,false,false
1748987640.968859,0,0,false,false,false,false
1748991001.782059,0,0,false,false,false,false
1749045943.795719,1,1,true,false,false,false
1749483301.743799,0,0,false,false,false,true
1749587647.993779,1,1,true,false,true,true
1749736418.376479,3,2,false,true,false,false
1749910734.335049,1,1,true,false,true,true
1750099591.318339,2,2,false,true,false,false
1750107455.051009,2,2,false,true,false,false
1750108140.723189,1,1,true,false,false,true
1750263073.559229,0,0,false,false,false,false
1750433503.159839,1,1,true,false,true,true
1750542571.373469,1,1,true,false,true,true
1750543237.173689,1,1,true,false,true,false
1750782284.153759,0,0,false,false,false,false
1751131118.344159,1,1,true,false,true,false
1751383067.920299,2,2,false,true,false,true
1751405351.198419,2,2,false,true,true,true
1751480457.035309,1,1,true,false,true,true
1751484200.902639,1,1,true,false,true,false
1751552677.898779,1,1,true,false,true,false
1751752790.648729,1,1,true,false,true,true
1752163920.010919,2,2,false,true,true,true
1752604798.908379,0,0,false,false,false,false
1752957900.793159,0,0,false,false,false,false
1752960341.476759,1,1,true,false,true,true
1753113824.320579,1,1,true,false,true,true
1753293852.929909,2,2,false,true,false,false
1754665790.173499,1,1,true,false,true,true
1754684725.812819,1,1,true,false,true,true
1755277700.363009,1,1,true,false,true,true
1755291485.396729,1,1,true,false,true,true
1755369935.916809,1,1,true,false,true,false
1755377840.288859,1,1,true,false,true,true
1755534296.806899,0,0,false,false,false,false
1755534370.902069,1,1,true,false,true,true
1755534400.543529,1,1,true,false,true,true
1755534449.934639,0,0,false,false,false,false
1755619252.906129,1,1,true,false,true,true
1755619525.045499,1,1,true,false,true,true
1755634642.503659,1,1,true,false,true,true
1755876012.824199,1,1,true,false,true,false
1755958141.388969,1,1,true,false,true,true
1756141161.842939,1,1,true,false,true,false
1756314995.478209,1,1,true,false,true,true
1756326958.630199,0,0,false,false,false,false
1756498078.922549,1,1,true,false,true,false
1756498164.176369,1,1,true,false,true,false
1756498180.584549,1,1,true,false,true,false
1756830522.316759,1,1,true,false,false,false
1756930909.495339,1,1,true,false,true,true
1756930934.108699,0,0,false,false,false,false
1756931025.178619,1,1,true,false,true,true
1756999964.325129,1,1,true,false,true,false
1757089408.901319,1,1,true,false,true,true
1757093250.496029,1,1,true,false,false,false
1757105546.360729,2,2,false,true,false,false
1757445949.194239,1,1,true,false,true,true
1757520207.984969,1,1,true,false,true,true
1757520282.465489,0,0,false,false,false,false
1757603150.913939,1,1,true,false,true,true
1757793840.299119,0,0,false,false,false,false
1758120212.817329,0,0,false,false,false,false
1758124766.758249,1,1,true,false,true,true
1758145699.608699,1,1,true,false,true,true
1758211130.255869,0,0,false,false,false,false
1758211181.605169,1,1,true,false,true,false
1758654341.957039,0,0,false,false,false,false
1758663703.606109,1,1,true,false,true,false
1758722859.445019,1,1,true,false,true,true
1758811042.966519,1,1,true,false,true,false
1759009311.615219,1,1,true,false,true,false
1759169268.568149,1,1,true,false,true,false
1759266061.539059,0,0,false,false,false,false
1759327658.769469,1,1,true,false,true,false
1759336799.900389,1,1,true,false,true,false
1759415334.612629,1,1,true,false,true,false
1759440073.835149,1,1,true,false,true,false
