REPORT,UNFULFILLED RISK PRODUCTS (COMMITTED MODEL)
WINDOW_UTC,2025-02-13T03:54:26.399561+00:00 → 2026-02-13T03:54:26.399561+00:00
GENERATED_UTC,2026-02-13T03:54:43.041661+00:00

Product,Vendor,Collections,Total Inventory,Committed (Canonical),Earliest Unfulfilled Order (UTC),Earliest Unfulfilled Order (ET),Latest Unfulfilled Order (UTC),Latest Unfulfilled Order (ET),Age (days),Age Bucket,Heatmap,SLA Breach,Unfulfilled Line Items (count)
Fika: The Swedish Way,NSMP,"Home Baking & Dessert Books, International & Ethnic Cookbooks",-2,2,2026-02-06T15:06:02+00:00,2026-02-06 10:06:02,2026-02-06T15:06:02+00:00,2026-02-06 10:06:02,6,0-7,🟢,,1
Eaten #15: The Food History Magazine,SMP,"Periodicals, Food History and Scholarship Books",-1,1,2026-02-06T16:57:13+00:00,2026-02-06 11:57:13,2026-02-06T16:57:13+00:00,2026-02-06 11:57:13,6,0-7,🟢,,1
Something from Nothing,CWN,"Everyday Cooking, Books Our Customers Love",-1,1,2026-02-06T22:50:28+00:00,2026-02-06 17:50:28,2026-02-06T22:50:28+00:00,2026-02-06 17:50:28,6,0-7,🟢,,1
La Délicieuse Cuisine Traditionnelle Française: 150 Recettes Classiques et qu’on Aime,FMAR,International & Ethnic Cookbooks,-1,1,2026-02-08T02:51:15+00:00,2026-02-07 21:51:15,2026-02-08T02:51:15+00:00,2026-02-07 21:51:15,5,0-7,🟢,,1
Waffle House Vistas (second edition),Bitter Southerner,"Food History and Scholarship Books, Single Subject",-2,2,2026-02-08T23:52:23+00:00,2026-02-08 18:52:23,2026-02-12T15:12:31+00:00,2026-02-12 10:12:31,4,0-7,🟢,,2
Baking Yesteryear: The Best Recipes from the 1900s to the 1980s,RDH,Home Baking & Dessert Books,-1,1,2026-02-11T16:55:23+00:00,2026-02-11 11:55:23,2026-02-11T16:55:23+00:00,2026-02-11 11:55:23,1,0-7,🟢,,1
Sweet Seasons: Wholesome Treats for Every Occasion,HGUS,Home Baking & Dessert Books,-1,1,2026-02-12T00:14:08+00:00,2026-02-11 19:14:08,2026-02-12T00:14:08+00:00,2026-02-11 19:14:08,1,0-7,🟢,,1
"Every Season Is Soup Season: 85+ Souper-Adaptable Recipes to Batch, Share, Reinvent, and Enjoy",CHR,Single Subject,0,1,2026-02-12T18:57:01+00:00,2026-02-12 13:57:01,2026-02-12T18:57:01+00:00,2026-02-12 13:57:01,0,0-7,🟢,,1
OP: Old Waldorf Bar Days,KNOP,Out-of-Print Offers,0,1,2026-02-12T23:41:17+00:00,2026-02-12 18:41:17,2026-02-12T23:41:17+00:00,2026-02-12 18:41:17,0,0-7,🟢,,1
Proceedings of the Royal Irish Academy: Damaged,Royal Irish Academy,Damaged Books,0,1,2026-02-13T00:41:58+00:00,2026-02-12 19:41:58,2026-02-13T00:41:58+00:00,2026-02-12 19:41:58,0,0-7,🟢,,1
Wild Sweetness: Recipes Inspired by Nature,HAR,Home Baking & Dessert Books,0,1,2026-02-13T03:11:13+00:00,2026-02-12 22:11:13,2026-02-13T03:11:13+00:00,2026-02-12 22:11:13,0,0-7,🟢,,1
The Rye Baker: Classic Breads from Europe and America,WWN,Home Baking & Dessert Books,0,1,2026-02-13T03:11:13+00:00,2026-02-12 22:11:13,2026-02-13T03:11:13+00:00,2026-02-12 22:11:13,0,0-7,🟢,,1
