REPORT,UNFULFILLED LINE ITEM VIEW
WINDOW_UTC,2025-12-06T15:00:00+00:00 → 2025-12-08T15:00:00+00:00
GENERATED_UTC,2026-02-13T03:04:35.440130+00:00

Order,Processed At (UTC),Product,Author,Vendor,ISBN,QTY Ordered,QTY Unfulfilled,Attributes,Notes
#71251,2025-12-07 00:22:02,The Noma Guide to Building Flavour,René Redzepi and The Noma Test Kitchen,WORA,9781579657192,1,1,"Signed, Preorder","_pubdate=April 28, 2026; _signed=true; _preorder=true"
#71256,2025-12-07 01:46:46,The Noma Guide to Building Flavour,René Redzepi and The Noma Test Kitchen,WORA,9781579657192,1,1,"Signed, Preorder","_pubdate=April 28, 2026; _signed=true; _preorder=true"
#71309,2025-12-07 22:41:55,The Noma Guide to Building Flavour,René Redzepi and The Noma Test Kitchen,WORA,9781579657192,1,1,Preorder,
#71331,2025-12-08 14:33:13,The Noma Guide to Building Flavour,René Redzepi and The Noma Test Kitchen,WORA,9781579657192,1,1,"Signed, Preorder","_pubdate=April 28, 2026; _signed=true; _preorder=true"
